Model_ID,Seating_Config,Cargo_Vol,Configurations
aasijetcruzer,"Typical accommodation for six including pilot. Can be configured for ambulance, cargo and other utility work. Optional aft lavatory.",,
aeaexplorer,"350R - Seating for nine (including pilot) in a passenger configuration. Cargo volume 7.08m3 (250cu ft).
500T - Seating for eleven (including pilot) in a passenger configuration. Cargo volume 7.08m3 (250cu ft).",,
aermacchif260,"Typical seating for two side by side, plus rear seat capable of seating one adult or two small children.",,
aeroboeroab95115150180,"Accommodation for one pilot and two passengers, or three/four passengers in initial AB-180 model. Ag aircraft fitted with ventral tank pod (for approx 270 litres/60Imp gal) and spray bars.",,
aeronca11chief,Accommodation for pilot and passenger side by side.,,
aeronca7champion,7 - Pilot and single passenger in tandem.,,
aerospatialealouetteiilama,Typical seating for five. Lama can lift a 1135kg (2500lb) external sling load.,,
aerospatialealouetteiii,"Typical seating for seven, with two passengers and pilot on front bench seat and four on rear bench seat. In aerial ambulance configuration accommodates pilot, two medical attendants and two stretcher patients.",,
aerospatialebritishaerospaceconcorde,Two pilots and flight engineer on the flightdeck. Accommodation for 128 passengers at four abreast with 86cm (34in) pitch in main cabin. Max seating for 144 at 81cm (32in) pitch.,,
aerospatialen262fregatemohawk298,Flightcrew of two and max seating for 29 passengers at three abreast. Standard seating layout for 26 passengers.,,
aerospatialesa330puma,"Crew of one or two pilots on flightdeck, plus jumpseat. Passenger configurations in main cabin range from 8, 10 or 12 seat executive layouts, or for 17 to 20 passengers in an airline arrangement. A 3200kg (7055lb) external sling load can be carried.",,
aerospatialesa341342gazelle,Maximum of five people including pilot. Rear seat can be folded down to accommodate freight.,,
aerospatialesa360361365cdauphin,"Standard accommodation for 10, including one pilot, in three seat rows, with pilot and two passengers in front row, four passengers in centre row and three passengers in rear row. Max seating for 14. Executive configurations can seat four to six passengers. As an air ambulance accommodates four stretcher patients and a medical attendant.",,
aerospatialesn601corvette,"Flightcrew of one or two pilots. Main cabin seating for between six and 14 passengers, depending on operator preference. Galley and toilets were available optionally. Alternative configurations for ambulance, freighter, navigation aid calibration and photography missions offered.",,
agustaa109,Total accommodation for eight people including one pilot. In medevac configuration two stretchers and two medical attendants.,,
agustaa119koala,One pilot and passenger on flightdeck. Main cabin seats six in standard configuration. In an EMS configuration can accommodate two stretcher patients.,,
airtractorseries,"One pilot and for AT-503A and AT-802 passenger or observer. Various size chemical spray hoppers, ranging in capacity from 1210 litres (AT-301) and 1515 litres (AT-401) upwards.",,
airbusa300600,"Flightcrew of two. Typical two class arrangement for 26 premium class passengers at six abreast and 240 economy class passengers at eight abreast. The A300-600 and 600R can carry 22 LD3 containers in forward and aft belly cargo holds. 
A300-600F total payload 55,017kg (121,290lb).",,
airbusa300600stsupertransporter,"The A300-600ST's max payload of 47 tonnes (103,615lb) is unlikely to be fully utilised, as the emphasis of the design is on volume rather than payload. The internal main cabin volume is 1400m3 (49,442cu ft), and can carry a range of oversize components, such as a fully equipped A330 or A340 wing shipset, or two A320/321 wing shipsets, or two A310 fuselage sections (front & rear).",,
airbusa300b2b4,Flightcrew of two pilots and a flight engineer. Seating for between 220 and 336 single class passengers in main cabin. Typical two class arrangement for 20 business class and 230 economy class passengers. Belly cargo compartments can carry 20 LD3 containers.,,
airbusa310,Flightcrew of two. Max passenger capacity at nine abreast 280. Typical two class arrangement for 20 passengers at six abreast and 192 economy class passenger eight abreast. Cargo capacity in fore and aft underfloor compartments can hold 2.44 x 3.17m (88 x 125in) pallets or a total of up to 14 LD3 containers.,,
airbusa318,"Flightcrew of two. Standard seating for 107 passengers (eight premium class at four abreast and 97cm/38in pitch, 99 economy class at six abreast and 81cm/32in pitch). Single class seating for 117 at 81cm (32in) pitch at six abreast.",,
airbusa319,Seating for 124 passengers in a typical two class configuration (eight premium class and 116 economy class). High density single class layout can seat 142 passengers.,,
airbusa319cj,Flightcrew of two. Six standard layouts offering seating from 10 to 39 passengers.,,
airbusa320,Flightcrew of two. Main cabin can accommodate a maximum of 179 passengers in a high density layout. Typical two class seating arrangement for 12 passengers at four abreast and 138 at six abreast. Seven LD3 derived LD3-46 containers or palletised cargo can be stored in the underbelly forward (four) and rear (three) freight holds.,,
airbusa321,"Flightcrew of two. Maximum passenger accommodation in a high density layout of 220 passengers. Passenger accommodation in a typical two class arrangement consists of 16 passengers at four abreast, and 170 passengers at six abreast.",,
airbusa330200,Flightcrew of two. Passenger seating arrangements for 256 in three classes or 293 in two classes. Front and rear underbelly cargo holds can take 26 LD3 containers or six freight pallets and passenger baggage.,,
airbusa330300,Flightcrew of two. Passenger seating arrangements for 295 in three classes or 335 in two class (30 premium class at 2+3+2 and 305 economy at 2+4+2). Max passengers in high density configuration 440. Front and rear underbelly cargo holds can take 32 LD3 containers or 11 pallets.,,
