Model_ID,Development_Story,Milestones,Status
aasijetcruzer,"The innovative Jetcruzer 500 is designed to be a high speed low cost single engine corporate turboprop and is the product of California based Advanced Aerodynamics and Structures Inc (AASI).

The Jetcruzer 500 is based on the smaller, unpressurised Jetcruzer 450. Early design work for what would become the Jetcruzer 450 began in 1983. Construction of an Allison 250-C20S powered prototype began in 1988. It flew for the first time on January 11 1989.

The preproduction prototype first flew April 1991, and the first production standard Jetcruzer 450 on September 13 1992. When FAA Part 23 certification was granted on June 14 1994 the Jetcruzer became the first aircraft in the world to be certificated as spin resistant.

AASI elected not to place the 450 into production and instead focused its efforts on the pressurised 500. Initial work was on the 500P, which featured a modest 25cm (10in) fuselage stretch, but AASI instead decided to enlarge the design further. The definitive Jetcruzer features a 1.83m (6ft) fuselage stretch over the 450 (increasing cabin length by 90cm (3ft), plus a significantly more powerful PT6A66 turboprop driving a five (rather than three) blade prop, pressurisation to 30,000ft, an airstair entry door on the right hand side and additional cabin windows.

First flight of the prototype 500 (the modified preproduction prototype 450) was in August 22 1997, followed by the second prototype (the modified production 450) on November 7 1997. 

Other notable Jetcruzer 500 design features include its canard configuration (which allows the main wing to be positioned further aft than normal, so the wing spars do not intrude into the cabin), lack of flaps (reducing pilot work load and manufacturing costs and saving weight), and optional EFIS avionics. Like the 450 the 500 will be certificated as spin resistant. The fuselage is made from composites while the wing and canard are aluminium.

On February 8 2002, AASI announced that it was taking over the Mooney assets, and that the name Mooney would be used for the combined companies. Headquarters, development, and marketing would remain at AASI's facility at Long Beach in California, but production of the Jetcruzer would be at Mooney's Kerrville, Texas plant. 

The company is also working on the Stratocruzer 1250, a 13 place twin WilliamsRolls FJ-44 powered light corporate jet development.",,Operational
aeaexplorer,"The AEA Explorer 350R is a nine-place Australian utility aircraft developed by Aeronautical Engineers Australia Research Pty Ltd (AEA). It is designed to fill a market gap between the Cessna 206 Stationair and the much larger Cessna 208 Caravan utility singles. 

AEA's managing director Graham Swannell first began looking at a new utility aircraft in the late 1980s, and initially considered developing a stretched and more powerful Cessna 206 conversion which would have been covered by a supplemental type certificate. But by 1993 Swannell had started design work on an all new aircraft, a 10 seater powered by an eight cylinder 300kW (400hp) Textron Lycoming IO-720. This design then evolved to become the Explorer 350R, a nine-seater powered by a Teledyne Continental TSIO-550 flat-six. 

The 350R flew for the first time on January 23 1998. Apart from its TSIO-550 engine driving a three blade prop, design features include a metal frame fuselage with a carbonfibre shell, conventional all metal wings and tail surfaces and retractable undercarriage. The main undercarriage retraction system is uncommon - the legs, which are made from fibreglass, extend further downwards before crossing each other below the fuselage with the wheels coming to rest in pods on the opposite side of the fuselage - thus not intruding into the main cabin. 

The aircraft's basic configuration is optimised for its intended utility roles, with a high mounted, braced wing, rectangular and constant section, flat floor cabin, and large cabin windows. 

The Explorer 350R will not be built in series, but is the proof-of-concept (POC) prototype for a family of utility aircraft. The 350R prototype was  converted to the 500T prototype, powered by a 600shp Pratt & Whitney PT6A-135B turboprop, and the first flight as such was made on June 9 2000. The 500T has seating for eleven (including the pilot) in a passenger configuration, and will be the entry level aircraft for the Explorer. A second production version will be the 500R, a 600hp Orenda OE-600A piston engine powered version of the 500T. A 2.21m (7ft 3in) stretched version is planned, the Explorer 750T, which will seat 17 (including the pilot), and will be powered by a 750shp Pratt & Whitney PT6A-60A turboprop.

On May 20 1999 the 350R left Australia for a promotional tour of the USA, and will now be further developed and taken into production in the United States by Explorer Aircraft Inc, located in Jasper, Texas.",,Operational
aermacchif260,"The nimble SIAI-Marchetti SF-260 has sold in modest numbers to civil operators worldwide but is one of the most successful postwar two seat piston military trainers. 

The SF-260 was designed by famed Italian aircraft designer Stelio Frati (who was responsible for a number of renowned light aircraft designs) in the early 1960s. It was originally flown in 185kW (250hp) Lycoming O-540 powered form by the Aviamilano company as the F-250. However until its takeover by Aermacchi in 1997 SIAI-Marchetti undertook all production (initially under licence, before later assuming full responsibility for the program) of the aircraft as the 195kW (260hp) O-540 powered SF-260. The second aircraft to fly was the first built by SIAI-Marchetti and the first powered by the more powerful version of the O-540. This second prototype first flew in 1966. 

The initial civil production models were the SF-260 and SF-260A, and a number were sold in the USA as the Waco Meteor. In 1974 production switched to the SF-260B with improvements first developed for the military SF-260M, including a stronger undercarriage, a redesigned wing leading edge and a taller fin. The B was soon followed by the further improved SF-260C, with increased span wing. 

While the SF-260 has been further developed into E and F forms these have been sold to military operators only. The 260kW (350shp) Allison (now Rolls-Royce) 250-B17D turboprop powered SF-260TP meanwhile has been built since the early 1980s, but it too has been sold only to military customers. Nevertheless Italian civil certification was awarded in October 1993, opening the door for possible civil sales. 

In civil use the SF-260 is now regarded as something of a classic thoroughbred. Its clean aerodynamic lines, retractable undercarriage and relatively powerful engine guarantee spirited performance. 

In 1997 Aermacchi took over SIAI-Marchetti and continues to market the aircraft as the F-260, with low rate production continuing against military orders.",,Operational
aeroboeroab95115150180,"Development from the basic AB-95 (which first flew in 1959) has spawned one of the largest families of GA types yet developed in South America. 

Versions of the AB-95 include the AB-95 Standard, the AB-95 De Lujo with a 75kW (100hp) Continental O-200A engine, the AB-95A Fumigador ag aircraft with the O-200A engine and fitted for crop dusting or spraying, the AB-115BS air ambulance fitted with a stretcher, the more powerful AB-95B, and the AB-95-115 with a more streamlined engine cowling housing a 85kW (115hp) O-235 engine, and main wheel fairings. 

From the AB-95-115 Aero Boero developed the AB-115BS with increased wing span, greater fin sweepback and longer range, and the AB-115 Trainer. Brazil ordered 450 Trainers in the late 1980s for its aero clubs. 

The AB-180 first flew in the late 1960s and was offered in three and four seat versions with differing wingspans and a more powerful powerplant than those featured on the earlier AB-95 and AB-115. Developments included the AB-180RV with greater range, reprofiled fuselage and sweptback fin; the glider tug AB-180RVR; the high altitude AB-180 Condor with optional engine turbocharger; AB-180AG agricultural aircraft and the two seat AB-180PSA preselection aircraft for student pilot flight grading. An experimental biplane AB-180SP was also developed. The AB-150RV and AB-150AG have less powerful powerplants than corresponding AB-180 models.",,Operational
aeronca11chief,"The Aeronca 11 Chief, designed by Ray Hermes, was developed at the same time as the tandem seat Model 7 Champion, but it featured a wider cabin for side by side seating. The first flight was made in 1945, but the type was only shown publicly for the first time at the National Air Show in Cleveland in November 1946. 

The Chief has a welded steel tube fuselage with fabric covering. A door on each side gives entry to the side by side cabin, and a baggage compartment is located behind the seats. Streamlined wheelpants were available as an option. Except for the fuselage, 80% of the parts are interchangeable with the Model 7 Champion. 

The first version of the Chief was the 11AC, powered by a 48kW (65hp) Continental A-65-8F engine, and the Type Certificate was issued September 28 1945. A floatplane version on Edo Floats was certificated on July 22 1947 as the S11AC. The Chief was available in a ""Standard"" version, or as a fully-equipped ""Deluxe"" version. In 1947 a ""Scout"" version was added, which was a bare pilot trainer.

The 11BC had a more powerful 63kW (85hp) Continental C-85-8F engine and a large dorsal fin, and was also available as the float-equipped S11BC. These models were certificated respectively in August 1947 and September 1948.

The third version was the 11CC Super Chief with the same Continental C-85 engine, but with a little more room, improved styling, luxury equipment now included as standard, and some other improvements. The 11CC was certificated in May 1948, and its float-equipped equivalent, the S11CC, in October 1948.

In 1951 Aeronca stopped production of light aircraft, as the market for light aircraft was not profitable anymore and as they had large orders for Korean War equipment to fulfill.

E.J.Trytek acquired the rights for the Model 11, but did not build the Chief themselves. The 11CC was however licence-built in India as the Hindustan HUL-26 Pushpak with a 67kW (90hp) Continental C-90 engine. The first flight was made on September 28 1958, and the type was produced until 1968. A total of 154 were received by Indian flying clubs. 

Eventually, Bellanca bought the Model 11 type certificate, and they used the model for developing a new trainer. They rebuilt a standard 11AC to the new model, but after a lengthy test period did not proceed further with the design.",,Operational
aeronca7champion,"The Aeronca Champion was a highly popular light aircraft in the USA in the intermediate postwar period, with over 10,000 built. 

The Champion was based on the prewar Model K Scout, with which it shares an overall similar configuration, but with tandem instead of side by side seating and a reduced span but increased chord flapless wing. 

The first production version of the Champion was the 7AC, with succeeding versions similar except for the powerplant fitted. These versions were the 7BC with a 63kW (85hp) Continental C85-12 or O-190-1 (and built in large numbers for the US Army as the L-16 liaison platform); the 7CC with a Continental C-90-12F; and the 7DC with a Continental C85. 

Aeronca sold the production rights of the Champion to the Champion Aircraft Corporation in 1951. Champion Aircraft dropped production of its namesake that year and instead developed the 7EC Traveler with a 67kW (90hp) Continental C90 (which first flew in 1955), 7FC tricycle undercarriage Tri-Traveler and the 110kW (150hp) Lycoming O-320 powered Model 7GCB Challenger, with increased span wing with flaps. The Challenger formed the basis for the Citabria and subsequent Decathlon and Scout, which are described separately under American Champion. 

In September 1970 Bellanca acquired the assets of the Champion Aircraft Company and elected to return the Champion to production as the 7ACA Champ. Based on the 7AC, changes included a 45kW (60hp) Franklin 2A-120-B engine in place of the by then out of production Continental, cantilever spring steel main landing gear and modernised interior. Small numbers were built in the early 1970s.",,Operational
aerospatialealouetteiilama,"Among the first turbine powered helicopters in the world, the Alouette II and Lama remain in service in fairly large numbers worldwide. 

For a time the most successful western European helicopter in terms of numbers built, the Alouette II was based on the original Sud-Est SE-3120 Alouette which first flew on March 12 1955. Two prototypes were built and these were powered by Salmson 9 piston engines. Production deliveries of the turbine powered SE-3130 (around 1967 redesignated SE-313B) Alouette II occurred from 1957, the first machines bound for the French military. Civil certification was awarded on January 14 1958, although most Alouette II production was for military customers. 

During production, Sud-Est became part of Sud in March 1957, and Sud was incorporated into Aerospatiale in January 1970. The Alouette II was soon followed by a more powerful Turboméca Astazou powered development. This aircraft was the SA-3180 (around 1967 renamed SA-318C) Alouette II Astazou, and flew for the first time on January 31 1961. Power was supplied by a 395kW (530shp) Astazou IIA derated to 270kW (360shp), which increased the type's maximum speed and max takeoff weight, but otherwise the Alouette II and Alouette II Astazou were similar. 

The SA-315B Lama was initially developed for the Indian Army as a utility helicopter with improved hot and high performance. Called Cheetah in Indian service, the Lama mated the Alouette's airframe with the larger Alouette III's dynamic components including Artouste IIIB engine. The Lama's first flight was on March 17 1969. Aerospatiale built 407 through to 1989, while Hindustan (HAL) in India continues limited licence production as the SA-315B Cheetah, and seven were produced in Brazil as the Helibras HB-315B Gaviao.",,Operational
aerospatialealouetteiii,"The Alouette III is an enlarged development of the Alouette II series, and was Aerospatiale's most successful helicopter in terms of numbers built until the mid 1980s when surpassed by the Ecureuil. 

Like the Alouette II, the Alouette III traces its development back to the Sud-Est SE-3120 Alouette piston powered prototypes, the first of which flew for the first time on July 31 1951. The largest member of the Alouette series, the III flew as the SE-3160 on February 28 1959. Compared with the Alouette II, the Alouette III is larger and seats seven, but in its initial form was also powered by the Turboméca Artouste turboshaft. 

This initial SE-3160 Alouette III remained in production for almost a decade until 1969, when it was replaced by the improved SA-316B with strengthened transmission and a greater max takeoff weight, but the same Artouste III turboshaft. 

Further development led to the SA-319 Alouette III Astazou, which as its name suggests is powered by a 450kW (600shp) Turboméca Astazou XIV turboshaft. The more powerful Astazou engine conferred better hot and high performance and improved fuel economy. The SA-319 entered production in 1968 as the SA-319B. 

The SA-319B and SA-316B remained in production side by side through the 1970s and into the early 1980s. Hindustan (HAL) of India continues to licence build Alouette IIIs as the Chetak (first as SE-3160, later as SA-316B), mainly for that country's military, but also for government and civil customers. ICA of Brasov in Romania licence built SA-316Bs as IAR-316Bs, and 60 SE-3160 were built in Switzerland by F+W Emmen. Other SE-3160 were assembled by Fokker and Lichtwerk in the Netherlands. 

Like the Alouette II, the III has been used in a wide range of utility roles, and many armed military variants have been built.",,Operational
aerospatialebritishaerospaceconcorde,"The Concorde first flew over 25 years ago, and yet it remains the pinnacle of civil aviation development for one reason - speed. The Concorde is the only aircraft in the world operating scheduled passenger flights at supersonic speed. 

An engineering masterpiece, the Concorde was the result of a collaborative venture between the aviation industries of Britain and France. It dates back to design work for a supersonic airliner carried out by Sud Aviation and Bristol, their respective Super Caravelle and Bristol 233 designs being remarkably similar in configuration to each other. The forecast high costs of any SST program and the similarities in the designs led to a 1962 government agreement between France and Britain which resulted in the British Aircraft Corporation (into which Bristol had been merged) and SudAviation (which became a part of Aerospatiale in 1970) joining to design and develop such an aircraft. 

Talks with airlines in the 1960s resulted in a relatively long range aircraft design capable of flying trans Atlantic sectors (although for a time Sud offered a short haul version). Design of the airframe was refined to feature a highly complex delta wing featuring cambering and ogival leading edges with pairs of engines mounted in pods under the wing undersurface. The slender fuselage features a high fineness ratio to keep supersonic drag to a minimum, while the fuel system was designed to trim the aircraft longitudinally by transferring fuel between tanks to combat the change in the centre of pressure as the aircraft accelerates. Another feature is the variable geometry nose which is lowered while taxying, on takeoff and landing to improve the flightcrew's visibility. 

A lengthy development program following the Concorde's first flight on March 2 1969 meant that it did not enter into airline service until January 1976.

On May 30 2003 the last commercial Air France flight landed back at Paris Charles de Gaulle from New York. The very last flight for Air France was made on June 27 2003 when F-BVFC flew from Paris to its place of construction in Toulouse for preservation.

British Airways hoped to operate Concorde services well into the first decade of the new century, but will now terminate its supersonic services in October 2003.",,Operational
aerospatialen262fregatemohawk298,"The original design of the N-262 dates back to the Max Holste Super Broussard project, which as the MH-260 flew for the first time on July 29 1960. 

This event had been preceded by the first flight of the oneoff Pratt & Whitney Wasp piston radial powered but otherwise similar MH-250 prototype on May 20 1959. Nord built just 10 MH-260s (flown by Air Inter and Norway's Wideröe) before beginning a significant redesign of the type in 1961, with the major changes being a redesigned fuselage with a circular cross section, pressurisation and more powerful powerplants. This resulted in the Nord N-262, which first flew on December 24 1962. 

Production of the N-262 consisted of four major variants, the initial production N-262A with Turboméca Bastan VIC engines; N-262B, of which only four were specially converted on request of Air Inter, also with Bastan VI engines; the N-262C Fregate with more powerful Bastan VIIC engines and greater wing span; and the N-262D Fregate, the French Air Force equivalent of the N-262C. 

The merger of Nord and Sud during the N-262's production life resulted in it becoming a product of Aerospatiale from 1970. 

In the late 1970s US commuter airline Allegheny Airlines - through its subsidiary Mohawk Air Services - extensively upgraded its fleet of N-262s, subcontracting the conversions to Frakes Aviation, resulting in the Mohawk 298 (the designation being derived from the FAA FAR Part 298 airworthiness regulation). The retrofit involved reengining the 262s with more powerful Pratt & Whitney Canada PT6A-45 turboprops with five blade props, new avionics and a new APU. 

The first Mohawk 298 flew on January 7 1975, while the last of nine converted was completed in 1978. 

Production of the N-262 ended in 1976.",,Operational
