"Name","Country of Origin","Type","Powerplants","Performance","Weights","Dimensions","Capacity","Production","History","Source URL"
"AASI Jetcruzer","United States of America","Business and utility transport","One rear mounted 1172kW (1572shp) Pratt & Whitney Canada PT6A-66A turboprop driving a five blade constant speed Hartzell propeller.","Max cruising speed 576km/h (318kt). Service ceiling 30,000ft. Max range at economical cruising speed with reserves 2574km (1391nm).","Max takeoff 2495kg (5500lb).","Wing span 12.85m (42ft 2in), length approx 10.5m (34.4ft).","Typical accommodation for six including pilot. Can be configured for ambulance, cargo and other utility work. Optional aft lavatory.","450 - 3 were built. 
500 - by November 2001, 2 had been converted from 450s, 1 new one was built, and 197 were on order. 
Basic unit price (2001) $US1.495.000.","The innovative Jetcruzer 500 is designed to be a high speed low cost single engine corporate turboprop and is the product of California based Advanced Aerodynamics and Structures Inc (AASI).

The Jetcruzer 500 is based on the smaller, unpressurised Jetcruzer 450. Early design work for what would become the Jetcruzer 450 began in 1983. Construction of an Allison 250-C20S powered prototype began in 1988. It flew for the first time on January 11 1989.

The preproduction prototype first flew April 1991, and the first production standard Jetcruzer 450 on September 13 1992. When FAA Part 23 certification was granted on June 14 1994 the Jetcruzer became the first aircraft in the world to be certificated as spin resistant.

AASI elected not to place the 450 into production and instead focused its efforts on the pressurised 500. Initial work was on the 500P, which featured a modest 25cm (10in) fuselage stretch, but AASI instead decided to enlarge the design further. The definitive Jetcruzer features a 1.83m (6ft) fuselage stretch over the 450 (increasing cabin length by 90cm (3ft), plus a significantly more powerful PT6A66 turboprop driving a five (rather than three) blade prop, pressurisation to 30,000ft, an airstair entry door on the right hand side and additional cabin windows.

First flight of the prototype 500 (the modified preproduction prototype 450) was in August 22 1997, followed by the second prototype (the modified production 450) on November 7 1997. 

Other notable Jetcruzer 500 design features include its canard configuration (which allows the main wing to be positioned further aft than normal, so the wing spars do not intrude into the cabin), lack of flaps (reducing pilot work load and manufacturing costs and saving weight), and optional EFIS avionics. Like the 450 the 500 will be certificated as spin resistant. The fuselage is made from composites while the wing and canard are aluminium.

On February 8 2002, AASI announced that it was taking over the Mooney assets, and that the name Mooney would be used for the combined companies. Headquarters, development, and marketing would remain at AASI's facility at Long Beach in California, but production of the Jetcruzer would be at Mooney's Kerrville, Texas plant. 

The company is also working on the Stratocruzer 1250, a 13 place twin WilliamsRolls FJ-44 powered light corporate jet development.","https://www.airliners.net/aircraft-data/aasi-jetcruzer/2"
"AEA Explorer","Australia","Multirole utility transport","350R - One 260kW (350hp) Teledyne Continental TSIO-550-E3B turbocharged and fuel injected flat-six piston engine driving a three-blade Hartzell propeller.
500T - One 447kW (600shp) Pratt & Whitney Canada PT6A-135B turboprop driving a four-blade propeller","350R - Max cruising speed 278km/h (150kt). Initial rate of climb 750ft/min. Takeoff run 366m (1200ft). Service ceiling 25,000ft. Max range with reserves 1852km (1000nm). Endurance over 3hr.
500T - Cruising speed 333km/h (180kt). Initial rate of climb 1000ft/min. Takeoff run 366m (1200ft). Service ceiling 25,000ft. Max range with reserves 1759km (950nm).","350R - Empty 1360kg (3000lb), max takeoff 2177kg (4800lb).
500T - Empty 1723kg (3800lb), max takeoff 2812kg (6200lb)","350R - Wing span 14.43m (47ft 4in), length 9.68m (31ft 9in), height 4.72m (15ft 6in). Wing area 18.36m2 (197.6sq ft).
500T - Wing span 14.43m (47ft 4in), length 10.13m (33ft 3in), height 4.72m (15ft 6in). Wing area 18.36m2 (197.6sq ft).","350R - Seating for nine (including pilot) in a passenger configuration. Cargo volume 7.08m3 (250cu ft).
500T - Seating for eleven (including pilot) in a passenger configuration. Cargo volume 7.08m3 (250cu ft).","One 350R, later converted to 500T (by Feb.2002)","The AEA Explorer 350R is a nine-place Australian utility aircraft developed by Aeronautical Engineers Australia Research Pty Ltd (AEA). It is designed to fill a market gap between the Cessna 206 Stationair and the much larger Cessna 208 Caravan utility singles. 

AEA's managing director Graham Swannell first began looking at a new utility aircraft in the late 1980s, and initially considered developing a stretched and more powerful Cessna 206 conversion which would have been covered by a supplemental type certificate. But by 1993 Swannell had started design work on an all new aircraft, a 10 seater powered by an eight cylinder 300kW (400hp) Textron Lycoming IO-720. This design then evolved to become the Explorer 350R, a nine-seater powered by a Teledyne Continental TSIO-550 flat-six. 

The 350R flew for the first time on January 23 1998. Apart from its TSIO-550 engine driving a three blade prop, design features include a metal frame fuselage with a carbonfibre shell, conventional all metal wings and tail surfaces and retractable undercarriage. The main undercarriage retraction system is uncommon - the legs, which are made from fibreglass, extend further downwards before crossing each other below the fuselage with the wheels coming to rest in pods on the opposite side of the fuselage - thus not intruding into the main cabin. 

The aircraft's basic configuration is optimised for its intended utility roles, with a high mounted, braced wing, rectangular and constant section, flat floor cabin, and large cabin windows. 

The Explorer 350R will not be built in series, but is the proof-of-concept (POC) prototype for a family of utility aircraft. The 350R prototype was  converted to the 500T prototype, powered by a 600shp Pratt & Whitney PT6A-135B turboprop, and the first flight as such was made on June 9 2000. The 500T has seating for eleven (including the pilot) in a passenger configuration, and will be the entry level aircraft for the Explorer. A second production version will be the 500R, a 600hp Orenda OE-600A piston engine powered version of the 500T. A 2.21m (7ft 3in) stretched version is planned, the Explorer 750T, which will seat 17 (including the pilot), and will be powered by a 750shp Pratt & Whitney PT6A-60A turboprop.

On May 20 1999 the 350R left Australia for a promotional tour of the USA, and will now be further developed and taken into production in the United States by Explorer Aircraft Inc, located in Jasper, Texas.","https://www.airliners.net/aircraft-data/aea-explorer/1"
"Aermacchi F-260","Italy","Two seat trainer and high performance light aircraft","SF-260A & C - One 195kW (260hp) Lycoming O-540-E4A5 flat six piston engine driving a two blade constant speed prop.","SF-260A - Max cruising speed 345km/h (186kt). Initial rate of climb 1770ft/min. Service ceiling 21,370ft. Range with max fuel 2050km (1107nm). 
SF-260C - Max speed 347km/h (187kt), max cruising speed 330km/h (178kt). Initial rate of climb 1790ft/min. Service ceiling 19,000ft. Max range 1490km (805nm).","SF-260A - Empty 700kg (1543lb), max takeoff (aerobatic) 1000kg (2205lb), max takeoff (utility) 1102kg (2430lb).","SF-260A - Wing span over tip tanks 8.40m (27ft 7in), length 7.02m (23ft 0in), height 2.60m (8ft 6in). Wing area 10.1m2 (108.5sq ft). 
SF-260C - Wing span 8.35m (27ft 5in), length 7.10m (23ft 4in), height 2.41m (7ft 11in). Wing area 10.1m2 (108.7sq ft).","Typical seating for two side by side, plus rear seat capable of seating one adult or two small children.","Over 860 SF-260s have been built (750 by SIAI-Marchetti) of which approximately 170 built for civil customers.","The nimble SIAI-Marchetti SF-260 has sold in modest numbers to civil operators worldwide but is one of the most successful postwar two seat piston military trainers. 

The SF-260 was designed by famed Italian aircraft designer Stelio Frati (who was responsible for a number of renowned light aircraft designs) in the early 1960s. It was originally flown in 185kW (250hp) Lycoming O-540 powered form by the Aviamilano company as the F-250. However until its takeover by Aermacchi in 1997 SIAI-Marchetti undertook all production (initially under licence, before later assuming full responsibility for the program) of the aircraft as the 195kW (260hp) O-540 powered SF-260. The second aircraft to fly was the first built by SIAI-Marchetti and the first powered by the more powerful version of the O-540. This second prototype first flew in 1966. 

The initial civil production models were the SF-260 and SF-260A, and a number were sold in the USA as the Waco Meteor. In 1974 production switched to the SF-260B with improvements first developed for the military SF-260M, including a stronger undercarriage, a redesigned wing leading edge and a taller fin. The B was soon followed by the further improved SF-260C, with increased span wing. 

While the SF-260 has been further developed into E and F forms these have been sold to military operators only. The 260kW (350shp) Allison (now Rolls-Royce) 250-B17D turboprop powered SF-260TP meanwhile has been built since the early 1980s, but it too has been sold only to military customers. Nevertheless Italian civil certification was awarded in October 1993, opening the door for possible civil sales. 

In civil use the SF-260 is now regarded as something of a classic thoroughbred. Its clean aerodynamic lines, retractable undercarriage and relatively powerful engine guarantee spirited performance. 

In 1997 Aermacchi took over SIAI-Marchetti and continues to market the aircraft as the F-260, with low rate production continuing against military orders.","https://www.airliners.net/aircraft-data/aermacchi-f-260/3"
"Aero Boero AB-95/115/150/180","Argentina","Family of three and four seat light aircraft","AB-95 Standard - One 70kW (95hp) Continental C90-8F flat four driving a two blade fixed pitch prop. 
AB-115 Trainer - One 85kW (115hp) Textron Lycoming O-235-C2A. 
AB-180RVR - One 135kW (180hp) Textron Lycoming O-360-A1A driving a two blade fixed pitch Sensenich or constant speed Hartzell prop.","AB-95 - Max speed 204km/h (110kt), cruising speed 170km/h (92kt), long range cruising speed 159km/h (86kt). Range at long range cruising speed 959km (518nm). 
AB-115 Trainer - Max cruising speed 169km/h (91kt). Initial rate of climb 669ft/min. Range with max fuel 1230km (664nm). 
AB-180RVR - Max speed 225km/h (122kt), max cruising speed 201km/h (108kt). Initial rate of climb 1025ft/min. Range with max fuel 1180km (636nm).","AB-95 - Empty 400kg (882lb), loaded 700kg (1543lb). 
AB-115 Trainer - Empty 556kg (1226lb), max takeoff 802kg (1768lb).
AB-180RVR - Empty 602kg (1327lb), max takeoff 890kg (1962lb).","AB-95 - Wing span 10.42m (34ft 2in), length 6.91m (22ft 8in), height 2.19m (7ft 2in). 
AB-115 Trainer & AB-180RVR - Wing span 10.78m (35ft 5in), length 7.08m (23ft 3in), height 2.05m (6ft 9in). Wing area 17.4m2 (187.4sq ft).","Accommodation for one pilot and two passengers, or three/four passengers in initial AB-180 model. Ag aircraft fitted with ventral tank pod (for approx 270 litres/60Imp gal) and spray bars.","Approx 600 of all variants have been built, including over 300 out of a Brazilian Government order for 450 AB-115s for use by aero clubs.","Development from the basic AB-95 (which first flew in 1959) has spawned one of the largest families of GA types yet developed in South America. 

Versions of the AB-95 include the AB-95 Standard, the AB-95 De Lujo with a 75kW (100hp) Continental O-200A engine, the AB-95A Fumigador ag aircraft with the O-200A engine and fitted for crop dusting or spraying, the AB-115BS air ambulance fitted with a stretcher, the more powerful AB-95B, and the AB-95-115 with a more streamlined engine cowling housing a 85kW (115hp) O-235 engine, and main wheel fairings. 

From the AB-95-115 Aero Boero developed the AB-115BS with increased wing span, greater fin sweepback and longer range, and the AB-115 Trainer. Brazil ordered 450 Trainers in the late 1980s for its aero clubs. 

The AB-180 first flew in the late 1960s and was offered in three and four seat versions with differing wingspans and a more powerful powerplant than those featured on the earlier AB-95 and AB-115. Developments included the AB-180RV with greater range, reprofiled fuselage and sweptback fin; the glider tug AB-180RVR; the high altitude AB-180 Condor with optional engine turbocharger; AB-180AG agricultural aircraft and the two seat AB-180PSA preselection aircraft for student pilot flight grading. An experimental biplane AB-180SP was also developed. The AB-150RV and AB-150AG have less powerful powerplants than corresponding AB-180 models.","https://www.airliners.net/aircraft-data/aero-boero-ab-95115150180/4"
"Aeronca 11 Chief","United States of America","Two seat light aircraft","One 48kW (65hp) Continental A-65-8F (11AC), or 63kW (85hp) Continental C-85-8F (11BC/CC), or 67kW (90hp) Continental C-90 (HUL-26).","Max speed 169km/h (91kt) for the 11AC, 177km/h (96kt) for the 11BC/CC, cruising speed 153km/h (83kt) for the 11AC, 161km/h (87kt) for the 11BC. Service ceiling 10,800ft for the 11AC, 14,500ft for the 11CC. Max initial rate of climb 152m (500ft)/min for the 11AC, 198m (650ft)/min for the 11CC. Range 531km (287nm) for the 11AC, 595km (322nm) for the 11CC.","Empty 329-340kg (725-750lb) for the 11AC, 372kg (820lb) for the 11CC. Max loaded 567-612kg (1250-1350lb) for the 11AC, 612kg (1350lb) for the 11CC.","Wing span 11.00m (36ft 1in), length 6.35m (20ft 10in), height 2.08m (6ft 10in). Wing area 16.3m2 (175.5sq ft).","Accommodation for pilot and passenger side by side.","2325 Chiefs built between 1946 and 1951 (including 1867 11AC, 181 11BC, and 277 11CC) plus 154 Pushpaks built between 1958 and 1968.","The Aeronca 11 Chief, designed by Ray Hermes, was developed at the same time as the tandem seat Model 7 Champion, but it featured a wider cabin for side by side seating. The first flight was made in 1945, but the type was only shown publicly for the first time at the National Air Show in Cleveland in November 1946. 

The Chief has a welded steel tube fuselage with fabric covering. A door on each side gives entry to the side by side cabin, and a baggage compartment is located behind the seats. Streamlined wheelpants were available as an option. Except for the fuselage, 80% of the parts are interchangeable with the Model 7 Champion. 

The first version of the Chief was the 11AC, powered by a 48kW (65hp) Continental A-65-8F engine, and the Type Certificate was issued September 28 1945. A floatplane version on Edo Floats was certificated on July 22 1947 as the S11AC. The Chief was available in a ""Standard"" version, or as a fully-equipped ""Deluxe"" version. In 1947 a ""Scout"" version was added, which was a bare pilot trainer.

The 11BC had a more powerful 63kW (85hp) Continental C-85-8F engine and a large dorsal fin, and was also available as the float-equipped S11BC. These models were certificated respectively in August 1947 and September 1948.

The third version was the 11CC Super Chief with the same Continental C-85 engine, but with a little more room, improved styling, luxury equipment now included as standard, and some other improvements. The 11CC was certificated in May 1948, and its float-equipped equivalent, the S11CC, in October 1948.

In 1951 Aeronca stopped production of light aircraft, as the market for light aircraft was not profitable anymore and as they had large orders for Korean War equipment to fulfill.

E.J.Trytek acquired the rights for the Model 11, but did not build the Chief themselves. The 11CC was however licence-built in India as the Hindustan HUL-26 Pushpak with a 67kW (90hp) Continental C-90 engine. The first flight was made on September 28 1958, and the type was produced until 1968. A total of 154 were received by Indian flying clubs. 

Eventually, Bellanca bought the Model 11 type certificate, and they used the model for developing a new trainer. They rebuilt a standard 11AC to the new model, but after a lengthy test period did not proceed further with the design.","https://www.airliners.net/aircraft-data/aeronca-11-chief/399"
"Aeronca 7 Champion","United States of America","Two seat light aircraft","7AC - One 50kW (65hp) Continental A65-8 flat four piston engine driving a two blade fixed pitch propeller.","7AC - Max speed 161km/h (87kt), cruising speed 128km/h (70kt). Service ceiling 12,400ft. Range 740km (400nm).","7AC - Empty 325kg (740lb), max takeoff 533kg (1220lb).","7AC - Wing span 10.73m (35ft 2in), length 6.65m (21ft 6in), height 2.13m (7ft 0in). Wing area 15.8m2 (170sq ft).","7 - Pilot and single passenger in tandem.","Approx 10,000 Aeronca Champions (including L-16s and 7200 7ACs) built between 1946 and 1951.","The Aeronca Champion was a highly popular light aircraft in the USA in the intermediate postwar period, with over 10,000 built. 

The Champion was based on the prewar Model K Scout, with which it shares an overall similar configuration, but with tandem instead of side by side seating and a reduced span but increased chord flapless wing. 

The first production version of the Champion was the 7AC, with succeeding versions similar except for the powerplant fitted. These versions were the 7BC with a 63kW (85hp) Continental C85-12 or O-190-1 (and built in large numbers for the US Army as the L-16 liaison platform); the 7CC with a Continental C-90-12F; and the 7DC with a Continental C85. 

Aeronca sold the production rights of the Champion to the Champion Aircraft Corporation in 1951. Champion Aircraft dropped production of its namesake that year and instead developed the 7EC Traveler with a 67kW (90hp) Continental C90 (which first flew in 1955), 7FC tricycle undercarriage Tri-Traveler and the 110kW (150hp) Lycoming O-320 powered Model 7GCB Challenger, with increased span wing with flaps. The Challenger formed the basis for the Citabria and subsequent Decathlon and Scout, which are described separately under American Champion. 

In September 1970 Bellanca acquired the assets of the Champion Aircraft Company and elected to return the Champion to production as the 7ACA Champ. Based on the 7AC, changes included a 45kW (60hp) Franklin 2A-120-B engine in place of the by then out of production Continental, cantilever spring steel main landing gear and modernised interior. Small numbers were built in the early 1970s.","https://www.airliners.net/aircraft-data/aeronca-7-champion/5"
"Aerospatiale Alouette II & Lama","France","Light utility helicopters","SA-313B Alouette II - One 270kW (360shp) Turboméca Artouste IIC6 turboshaft driving a three blade main rotor and two blade tail rotor. 
SA-315B Lama - One 650kW (870shp) Turboméca Artouste IIIB turboshaft, derated to 410kW (550shp).","SA-313B - Max speed 185km/h (100kt), max cruising speed 165km/h (90kt). Initial rate of climb 825ft/min. Hovering ceiling in ground effect 5400ft. Range with max fuel 300km (162nm), range with max payload 100km (54nm). 
SA-315B - Max cruising speed 192km/h (103kt). Max initial rate of climb 1080ft/min. Hovering ceiling in ground effect 16,565ft, out of ground effect 15,090ft. Service ceiling 17,715ft. Range with max fuel 515km (278nm).","SA-313B - Empty 895kg (1973lb), max takeoff 1600kg (3527lb). 
SA-315B - Empty 1020kg (2250lb), max takeoff 1950kg (4300lb), or 2300kg (5070lb) with external sling load.","SA-313B - Main rotor diameter 10.20m (33ft 5in), fuselage length 9.70m (31ft 10in), height 2.75m (9ft 0in). 
SA-315B - Main rotor diameter 11.02m (36ft 2in), length overall 12.92m (42ft 5in), fuselage length 10.26m (33ft 8in), height overall 3.09m (10ft 2in). Main rotor disc area 95.4m2 (1026.7sq ft).","Typical seating for five. Lama can lift a 1135kg (2500lb) external sling load.","1303 Alouette IIs, including 360 SA-318Cs, were built for military and commercial customers. Aerospatiale built 407 Lamas, while seven were built in Brazil and more than 240 in India as the HAL Cheetah.","Among the first turbine powered helicopters in the world, the Alouette II and Lama remain in service in fairly large numbers worldwide. 

For a time the most successful western European helicopter in terms of numbers built, the Alouette II was based on the original Sud-Est SE-3120 Alouette which first flew on March 12 1955. Two prototypes were built and these were powered by Salmson 9 piston engines. Production deliveries of the turbine powered SE-3130 (around 1967 redesignated SE-313B) Alouette II occurred from 1957, the first machines bound for the French military. Civil certification was awarded on January 14 1958, although most Alouette II production was for military customers. 

During production, Sud-Est became part of Sud in March 1957, and Sud was incorporated into Aerospatiale in January 1970. The Alouette II was soon followed by a more powerful Turboméca Astazou powered development. This aircraft was the SA-3180 (around 1967 renamed SA-318C) Alouette II Astazou, and flew for the first time on January 31 1961. Power was supplied by a 395kW (530shp) Astazou IIA derated to 270kW (360shp), which increased the type's maximum speed and max takeoff weight, but otherwise the Alouette II and Alouette II Astazou were similar. 

The SA-315B Lama was initially developed for the Indian Army as a utility helicopter with improved hot and high performance. Called Cheetah in Indian service, the Lama mated the Alouette's airframe with the larger Alouette III's dynamic components including Artouste IIIB engine. The Lama's first flight was on March 17 1969. Aerospatiale built 407 through to 1989, while Hindustan (HAL) in India continues limited licence production as the SA-315B Cheetah, and seven were produced in Brazil as the Helibras HB-315B Gaviao.","https://www.airliners.net/aircraft-data/aerospatiale-alouette-ii-lama/7"
"Aerospatiale Alouette III","France","Light utility helicopter","SA-316B - One 425kW (570shp) Turboméca Artouste IIIB turboshaft driving a three blade main rotor and three blade tail rotor. 
SA-319B - One 450kW (600shp) derated Turboméca Astazou XIV turboshaft.","SA-316B - Max speed 210km/h (113kt), max cruising speed 185km/h (100kt). Max initial rate of climb 885ft/min. Hovering ceiling in ground effect 7380ft/min. Range with max fuel 480km (260nm). 
SA-319B - Max cruising speed 197km/h (106kt). Initial rate of climb 885ft/min. Hovering ceiling in ground effect 10,170ft, out of ground effect 5575ft. Range with six passengers 605km (327nm).","SA-316B - Empty 1122kg (2474lb), max takeoff 2200kg (4850lb). 
SA-319B - Empty 1140kg (2513lb), max takeoff 2250kg (4960lb).","SA-316B/319B - Main rotor diameter 11.02m (36ft 2in), length overall 12.54m (42ft 2in), fuselage length 10.03m (32ft 11in), height 3.00m (9ft 10in). Main rotor disc area 95.4m2 (1026.7sq ft)","Typical seating for seven, with two passengers and pilot on front bench seat and four on rear bench seat. In aerial ambulance configuration accommodates pilot, two medical attendants and two stretcher patients.","Approximately 1500 Alouette IIIs have been built in France, plus production in India (300+), Romania (200) and Switzerland (60), most for military customers, but some are in civil use.","The Alouette III is an enlarged development of the Alouette II series, and was Aerospatiale's most successful helicopter in terms of numbers built until the mid 1980s when surpassed by the Ecureuil. 

Like the Alouette II, the Alouette III traces its development back to the Sud-Est SE-3120 Alouette piston powered prototypes, the first of which flew for the first time on July 31 1951. The largest member of the Alouette series, the III flew as the SE-3160 on February 28 1959. Compared with the Alouette II, the Alouette III is larger and seats seven, but in its initial form was also powered by the Turboméca Artouste turboshaft. 

This initial SE-3160 Alouette III remained in production for almost a decade until 1969, when it was replaced by the improved SA-316B with strengthened transmission and a greater max takeoff weight, but the same Artouste III turboshaft. 

Further development led to the SA-319 Alouette III Astazou, which as its name suggests is powered by a 450kW (600shp) Turboméca Astazou XIV turboshaft. The more powerful Astazou engine conferred better hot and high performance and improved fuel economy. The SA-319 entered production in 1968 as the SA-319B. 

The SA-319B and SA-316B remained in production side by side through the 1970s and into the early 1980s. Hindustan (HAL) of India continues to licence build Alouette IIIs as the Chetak (first as SE-3160, later as SA-316B), mainly for that country's military, but also for government and civil customers. ICA of Brasov in Romania licence built SA-316Bs as IAR-316Bs, and 60 SE-3160 were built in Switzerland by F+W Emmen. Other SE-3160 were assembled by Fokker and Lichtwerk in the Netherlands. 

Like the Alouette II, the III has been used in a wide range of utility roles, and many armed military variants have been built.","https://www.airliners.net/aircraft-data/aerospatiale-alouette-iii/8"
"Aerospatiale-British Aerospace Concorde","France and United Kingdom","Medium range supersonic airliner","Four 170.2kN (38,050lb) RollsRoyce SNECMA Olympus 593 Mk 610 afterburning turbojets.","Max cruising speed at 51,300ft Mach 2.04, or 2179km/h (1176kt), typical supersonic cruise speed Mach 2.02. Range with max payload and reserves at Mach 2.02 cruise and climb speed 6230km (3360nm). Range with max fuel, reserves and 8845kg (19,500lb) payload 6580km (3550nm).","Operating empty 78,700kg (173,500lb), max takeoff 185,065kg (408,000lb). Max payload 12,700kg (28,000lb).","Wing span 25.56m (83ft 10in), length 62.17m (203ft 9in), height 11.40m (37ft 5in). Wing area 358.3m2 (3856sq ft).","Two pilots and flight engineer on the flightdeck. Accommodation for 128 passengers at four abreast with 86cm (34in) pitch in main cabin. Max seating for 144 at 81cm (32in) pitch.","Two prototypes (001 & 002), two preproduction aircraft (01 & 02) and 16 production aircraft.","The Concorde first flew over 25 years ago, and yet it remains the pinnacle of civil aviation development for one reason - speed. The Concorde is the only aircraft in the world operating scheduled passenger flights at supersonic speed. 

An engineering masterpiece, the Concorde was the result of a collaborative venture between the aviation industries of Britain and France. It dates back to design work for a supersonic airliner carried out by Sud Aviation and Bristol, their respective Super Caravelle and Bristol 233 designs being remarkably similar in configuration to each other. The forecast high costs of any SST program and the similarities in the designs led to a 1962 government agreement between France and Britain which resulted in the British Aircraft Corporation (into which Bristol had been merged) and SudAviation (which became a part of Aerospatiale in 1970) joining to design and develop such an aircraft. 

Talks with airlines in the 1960s resulted in a relatively long range aircraft design capable of flying trans Atlantic sectors (although for a time Sud offered a short haul version). Design of the airframe was refined to feature a highly complex delta wing featuring cambering and ogival leading edges with pairs of engines mounted in pods under the wing undersurface. The slender fuselage features a high fineness ratio to keep supersonic drag to a minimum, while the fuel system was designed to trim the aircraft longitudinally by transferring fuel between tanks to combat the change in the centre of pressure as the aircraft accelerates. Another feature is the variable geometry nose which is lowered while taxying, on takeoff and landing to improve the flightcrew's visibility. 

A lengthy development program following the Concorde's first flight on March 2 1969 meant that it did not enter into airline service until January 1976.

On May 30 2003 the last commercial Air France flight landed back at Paris Charles de Gaulle from New York. The very last flight for Air France was made on June 27 2003 when F-BVFC flew from Paris to its place of construction in Toulouse for preservation.

British Airways hoped to operate Concorde services well into the first decade of the new century, but will now terminate its supersonic services in October 2003.","https://www.airliners.net/aircraft-data/aerospatiale-british-aerospace-concorde/6"
"Aerospatiale N-262 Fregate & Mohawk 298","France","Short range turboprop commuter airliner","Fregate - Two 843kW (1130shp) Turboméca Bastan VIIC turboprops driving three blade variable pitch Ratier Figeac FH.146 propellers.
Mohawk 298 - Two 880kW (1180shp) Pratt & Whitney Canada PT6A45 turboprops driving five blade variable pitch Hamilton Standard props.","Fregate - Max level speed 418km/h (225kt) at 20,000ft, economical cruising speed 408km/h (220kt). Max range with full fuel and no reserves 2400km (1295nm), range with 26 pax and reserves 1020km (550nm).
Mohawk 298 - Max speed 385km/h (208kt), economical cruising speed 375km/h (203kt). Max range with full fuel and no reserves 2132km (1151nm).","Fregate - Basic empty 6200kg (13,668lb), max takeoff 10,800kg (23,810lb).
Mohawk 298 - Empty 7030kg (15,498lb), max takeoff 10,600kg (23,370lb).","Fregate & Mohawk 298 - Wing span 22.60m (74ft 2in), length 19.28m (63ft 3in), height 6.21m (20ft 4in). Wing area 55.0m2 (592sq ft).","Flightcrew of two and max seating for 29 passengers at three abreast. Standard seating layout for 26 passengers.","110 of all variants of the 262 (including the Mohawk 298 and miscellaneous military orders) built.","The original design of the N-262 dates back to the Max Holste Super Broussard project, which as the MH-260 flew for the first time on July 29 1960. 

This event had been preceded by the first flight of the oneoff Pratt & Whitney Wasp piston radial powered but otherwise similar MH-250 prototype on May 20 1959. Nord built just 10 MH-260s (flown by Air Inter and Norway's Wideröe) before beginning a significant redesign of the type in 1961, with the major changes being a redesigned fuselage with a circular cross section, pressurisation and more powerful powerplants. This resulted in the Nord N-262, which first flew on December 24 1962. 

Production of the N-262 consisted of four major variants, the initial production N-262A with Turboméca Bastan VIC engines; N-262B, of which only four were specially converted on request of Air Inter, also with Bastan VI engines; the N-262C Fregate with more powerful Bastan VIIC engines and greater wing span; and the N-262D Fregate, the French Air Force equivalent of the N-262C. 

The merger of Nord and Sud during the N-262's production life resulted in it becoming a product of Aerospatiale from 1970. 

In the late 1970s US commuter airline Allegheny Airlines - through its subsidiary Mohawk Air Services - extensively upgraded its fleet of N-262s, subcontracting the conversions to Frakes Aviation, resulting in the Mohawk 298 (the designation being derived from the FAA FAR Part 298 airworthiness regulation). The retrofit involved reengining the 262s with more powerful Pratt & Whitney Canada PT6A-45 turboprops with five blade props, new avionics and a new APU. 

The first Mohawk 298 flew on January 7 1975, while the last of nine converted was completed in 1978. 

Production of the N-262 ended in 1976.","https://www.airliners.net/aircraft-data/aerospatiale-n-262-fregate-mohawk-298/12"
