Model_ID,Units_Built,Production_Years,Price_USD
aasijetcruzer,"450 - 3 were built. 
500 - by November 2001, 2 had been converted from 450s, 1 new one was built, and 197 were on order. 
Basic unit price (2001) $US1.495.000.",,
aeaexplorer,"One 350R, later converted to 500T (by Feb.2002)",,
aermacchif260,Over 860 SF-260s have been built (750 by SIAI-Marchetti) of which approximately 170 built for civil customers.,,
aeroboeroab95115150180,"Approx 600 of all variants have been built, including over 300 out of a Brazilian Government order for 450 AB-115s for use by aero clubs.",,
aeronca11chief,"2325 Chiefs built between 1946 and 1951 (including 1867 11AC, 181 11BC, and 277 11CC) plus 154 Pushpaks built between 1958 and 1968.",,
aeronca7champion,"Approx 10,000 Aeronca Champions (including L-16s and 7200 7ACs) built between 1946 and 1951.",,
aerospatialealouetteiilama,"1303 Alouette IIs, including 360 SA-318Cs, were built for military and commercial customers. Aerospatiale built 407 Lamas, while seven were built in Brazil and more than 240 in India as the HAL Cheetah.",,
aerospatialealouetteiii,"Approximately 1500 Alouette IIIs have been built in France, plus production in India (300+), Romania (200) and Switzerland (60), most for military customers, but some are in civil use.",,
aerospatialebritishaerospaceconcorde,"Two prototypes (001 & 002), two preproduction aircraft (01 & 02) and 16 production aircraft.",,
aerospatialen262fregatemohawk298,110 of all variants of the 262 (including the Mohawk 298 and miscellaneous military orders) built.,,
aerospatialesa330puma,"696 Pumas of different versions, including military, had been sold, when Aerospatiale production ceased in 1987. Westland assembled 48 SA-330Es as the Puma HC.Mk1. Limited production has continued in Romania by IAR, largely for that country's military. ICA and IAR have built over 160 as the IAR-330L.  IPTN built 11 as the NSA-330J.",,
aerospatialesa341342gazelle,"More than 1250 French built Gazelles have been delivered, although the large majority of these were for military service. Further production took place in the UK with Westland, and the former Yugoslavia.",,
aerospatialesa360361365cdauphin,"Production of the SA-360, SA-361 and SA-365C ceased in 1981. Approx 40 SA-360s and 50 SA-365Cs built.",,
aerospatialesn601corvette,"One prototype SN-600 and 39 production SN-601s built, with an estimated 35 remaining in service in 1998.",,
agustaa109,Approximately 600 A-109s of all variants (civil and military) had been built by 1998.,,
agustaa119koala,Entered production in 1999. Planned annual production rate of 20 to 25 aircraft per year. 60 sold at time of writing. Basic aircraft unit cost approx $US1.7m. Second assemly line to be established at Denel in South Africa.,,
airtractorseries,"Over 1500 Air Tractors of all models have been built, including more than 600 AT-301s, 245 AT-401s, 200 AT-402s, 400 AT-502s and 50 AT-802s and AT-802As.",,
airbusa300600,"A total of 334 A300-600s of all variants had been ordered by late 2002, of which 266 had been delivered.",,
airbusa300600stsupertransporter,Airbus has taken delivery of its four A300-600STs originally on order and has converted an option on a fifth to a firm order.,,
airbusa300b2b4,"A300B2 and B4 orders stood at 249 when production was completed in 1984. Approximately 145 in service in late 2002, including 75 freighters.",,
airbusa310,"Total orders held for the A310 stood at 260 by late 2002, of which more than 255 had been delivered.",,
airbusa318,"By Jan.2002 total orders for the A318 stood at 114.
Initial deliveries planned for late 2002.",,
airbusa319,At late 2002 total orders for the A319 stood at approx 742 with 484 delivered.,,
airbusa319cj,"Up to 12 A319CJs expected to be built each year. First customer delivery scheduled for November 1999. Green A319CJ costs $US35m, interior completion can cost $US4-10m. Twelve firm orders held at late 1998.",,
airbusa320,"As of early 2003, firm orders for the A320 stood at 1397 with 1131 delivered.",,
airbusa321,415 A321s were ordered by late 2002 with 253 delivered.,,
airbusa330200,Total A330-200 built stood at 108 at June 2002. Deliveries began in April 1998.,,
airbusa330300,"Total orders stood at 177 at late 1998, of which over 70 were in service.",,
airbusa340200300,"A total of 321 A340 (including all series) had been ordered by May 2002, of which 217 had been delivered.",,
airbusa340500600,"69 A340-500s/600s ordered by early 2003, of which 11 delivered. These include 17 A340-500 (1 delivered) and 52 A340-600 (10 delivered).",,
airbusa380,236 firm orders by August 2011. Airbus has forecast a market for approx 1235 airliners of 400 seats and above through to 2020. First delivery took place in autumn 2007.,,
americanchampionbellancaseries,Over 6000 of all models built. Approx 70 deliv in 1998.,,
antonovan12shaanxiy8,"Production totals for the An-12 are estimated at 1243 aircraft, with more than 200 having nominally seen civil service with Aeroflot, plus many other Soviet client state airlines. 
Shaanxi had reportedly delivered 75 by 2001 for military and civil use.",,
antonovan124ruslan,"About 60 An-124s have been built, of which 25 were in commercial use in 2000. Some western based freight operators utilise An-124s leased from Antonov for freight charters.",,
antonovan140,Two prototypes and eight production aircraft by the end of 2004.,,
antonovan22antei,"Approximately 70 have been built, of which approximately 50 have been operated in Aeroflot colours. A few dozen remain in commercial and military service.",,
antonovan225mriya,"Only one was built since 1989, but a second frame was partially constructed and remains in storage.",,
antonovan24263032xiany7,More than 1100 An-24s were built. Approximately 880 An-24s remain in commercial service. Chinese production continues. More than 550 An-26s and 120 An-32s are in civil use.,,
antonovan38,11 (mid 2004).,,
antonovan7274,"Production totals more than 160, mostly for military customers. Most built in Ukraine but production transferred to Omsk in Russia in 1993. Around 30 An-72s and 6 An-74s were in commercial use in 1998.",,
antonovpzlmielecan2,"More than 5000 An-2s were built in the Ukraine between 1948 and the mid 1960s, before production was transferred to PZL Mielec in Poland, where approximately 12,000 have been built and low rate production continues. Close to 1000 Y5s have been built by SAMC in China.",,
antonovpzlmielecan28,"Approximately 200 An-28s have been delivered, with 100 in commercial use. More than a dozen M28s have been ordered.",,
atratr42,In late 2002 total orders for all versions of the ATR-42 stood at 369 with 367 delivered.,,
atratr72,"As at late 2001 292 ATR-72s had been ordered, with 270 delivered.",,
austerjseries,Approximate production totals for the series are,,
aviata1husky,"Approximately 450 Huskies had been delivered by late 1998, many for US government agencies and police.",,
aviationtradersatl98carvair,"Total Carvair conversions number 21, the last of which was completed in 1968.",,
ayresthrushrockwellthrushcommander,Includes 1300 built by Rockwell and 350+ by Ayres.,,
bac111oneeleven,"UK total 235, comprising 58 Srs 200s, nine Srs 300s, 70 Srs 400s, 86 Srs 500s and 12 production 475s. 
Nine 561s built by Bucuresti in Romania. Approximately 90 One Elevens were in service in late 2000, and 61 early 2003.",,
baesystemsavrorjx85100,"After 1 RJX85 and 2 RJX100 had flown, production was abandoned.",,
beagleb121pup,"173 Pups built, consisting of 66 Pup 100s, 98 Pup 150s, and 9 Pup 160s.",,
beagleb206,Total production run of 79 aircraft included one 206X; one 206Y; two 206Z; 20 206R Bassets for the Royal Air Force; 11 B.206C; 43 206S; and one Series 3.,,
beech18,"Over 9000 Beech 18s of all models built between 1937 and 1969, of which 2000 were built postwar. Wartime military production accounts for majority of Beech 18s built (approx 5000).",,
beech192324musketeersierrasportsundowner,"4455 built, including 2390 Musketeers, I/II/III/Custom & Sundowners; 904 Sports; 793 Super R/Sierras; and 369 Supers.",,
beech2000starship1,"Production ceased in early 1995 after three prototypes, 18 Starship 2000s and 32 Starship 2000As had been built",,
beech35bonanza,"Approximately 10,400 Model 35 Bonanzas of all variants were built between 1945 and 1982.",,
beech60duke,"Beechcraft built 584 Dukes between 1968 and 1982, including 113 60s, 121 A60s and 350 B60s.",,
beech65708088queenair,"1001 Queen Airs of all models built (404 Model 65s & A65s, 42 Model 70s, 510 Model 80s and 45 Model 88s), including U8F Seminoles for the US Army.",,
beech76duchess,437 Duchesses were built between 1978 and 1982.,,
beech77skipper,Production of the Skipper ceased in 1981 after 312 had been built.,,
beech99airliner,"Total Model 99 production of 239. This includes 164 99s, A99s, A99As and B99s between 1967 and 1975 and production of 75 C99s between 1980 and 1986, when production ceased.",,
bell204205214b,"Over 60 civil Model 204Bs were delivered by 1967, while further examples were built by AgustaBell up until 1973. 12,000 Model 205s (including civil 205A1s) were built by Bell and AgustaBell up to the early 1980s.",,
